,ID,Lon,Lat,Label,Attribute,Description
0,HMN010c_PES_MALTA_T010,13.871091442300001,35.669545317600004,1,147.0xnmhxnmh, 
1,HMN010c_PES_MALTA_T009,13.8717529795,35.670075034499995,1,143.1xnmhxnmh, 
2,HMN010a_S4B6_T002,13.698964292000001,35.8053135767,1,7.3x3.3x0.7,7.3x3.3x0.7 - Unknown Object 
3,HMN010a_S4B6_T001,13.730238636800001,35.8036064479,1,5.1x3.1x0.4,5.1x3.1x0.4 - Unknown Object 
4,HMN010b_S4B6_T003,13.566785058199999,35.9109213477,1,4.5x4.1x0.3,4.5x4.1x0.3 - Unknown Object 
5,HMN010a_S4B5_T007,13.9662428449,35.547933016500004,1,4.8x3.2xnmh,4.8x3.2xnmh - Possible Boulder 
6,HMN010a_S4B5_T006,13.96667396,35.5486904886,1,3.2x2.5xnmh,3.2x2.5xnmh - Possible Boulder 
7,HMN010a_S4B5_T005,13.9658680109,35.5495622829,1,3.7x6.1x0.9,3.7x6.1x0.9 - Possible Boulder 
8,HMN010a_S4B5_T004,13.964132868499998,35.5501747312,1,2.4x2.4xnmh,2.4x2.4xnmh - Possible Boulder 
9,HMN010a_S4B5_T003,13.9628880045,35.5507275472,1,1.0x3.2xnmh,1.0x3.2xnmh - Possible Boulder 
10,HMN010a_S4B5_T002,13.9619451096,35.5513684144,1,3.4x5.7xnmh,3.4x5.7xnmh - Unknown Object 
11,HMN010a_S4B5_T001,13.9594538625,35.5536556734,1,6.3x2.7xnmh,6.3x2.7xnmh - Possible Boulder 
12,HMN010a_S4B4_T003,14.720846766,35.3258509491,1,7.0x2.6xnmh,7.0x2.6xnmh - Unknown Object 
13,HMN010a_S4B4_T002,14.688534053800002,35.3259248457,1,4.3x1.6x0.2,4.3x1.6x0.2 - Possible Boulder 
14,HMN010a_S4B4_T001,14.6046883204,35.3281824428,1,4.8x2.4x0.6,4.8x2.4x0.6 - Possible Dead Weight 
15,HMN010a_S4B2_T001,15.5003998417,35.3283018805,1,3.0x1.6xnmh,3.0x1.6xnmh - Unknown Object 
16,HMN010a_S4B2_T002,15.9390736893,35.3084347514,1,9.5x3.4x2.1,9.5x3.4x2.1 - Unknown Object 
17,HMN010a_S5B0_T001,13.4849191818,35.9817842179,1,6.0x1.7xnmh,6.0x1.7xnmh - Unknown Object 
18,HMN010a_S5B0_T004,13.4754923724,35.9914825077,1,2.9x5.2x0.4,2.9x5.2x0.4 - Unknown Object 
19,HMN010a_S5B0_T007,13.4182846748,36.0559942236,1,5.0x3.8xnmh,5.0x3.8xnmh - Unknown Object 
20,HMN010a_S5B0_T006,13.399016426,36.072254571799995,1,3.6x3.4xnmh,3.6x3.4xnmh - Unknown Object (Possible related to HMN010a_S5B0_M036) 
21,HMN010a_S5B0_T002,13.3610447726,36.115001229899995,1,4.5x4.2x0.3,4.5x4.2x0.3 - Unknown Object 
22,HMN010a_S5B0_T005,13.2109544428,36.302026432199995,1,9.1x2.4xnmh,9.1x2.4xnmh - Unknown Object 
23,HMN010a_S5B0_T003,13.133816910799998,36.3350081212,1,9.5x7.4xnmh,9.5x7.4xnmh - Unknown Object 
24,HMN010a_S4B3_T001,15.153834209600001,35.3416606142,1,8.5x4.6x0.3,8.5x4.6x0.3 - Unknown Object 
25,HMN010a_S4B3_T002,14.9443507232,35.336602175500005,1,7.5x0.9x1.7,7.5x0.9x1.7 - Unknown Object 
26,HMN010a_S4B6_H003,13.7066798548,35.8049345054,2,,
27,HMN010a_S4B6_H001,13.7067603817,35.807152897600005,2,,
28,HMN010a_S4B6_H002,13.7066271828,35.806287481700004,2,,
29,HMN010a_S5B0_M009,13.1455252654,36.3334013897,3,2.8nT,
30,HMN010a_S5B0_M008,13.3250129658,36.1925134375,3,50.5nT,
31,HMN010a_S5B0_M006,13.3260939903,36.1891635387,3,51.1nT,
32,HMN010a_S5B0_M005,13.3230034756,36.1911504125,3,10.4nT,
33,HMN010a_S5B0_M004,13.3231445027,36.1905254949,3,60.9nT,
34,HMN010a_S5B0_M003,13.3984961146,36.0726336576,3,3.1nT,
35,HMN010a_S5B0_M002,13.0932088792,36.3561039713,3,10.2nT,
36,HMN010a_S5B0_M001,13.4864809699,35.983465972800005,3,5.2nT,
37,HMN010a_S4B2_C03,15.9207036322,35.311355253,4,,Very Soft CLAY  at 2.0 
38,HMN010a_S4B3_C01,15.400454740199999,35.3318991982,4,,Soft Silty CLAY  at 2.0 
39,HMN010a_S4B3_C10,14.993781067899999,35.340786807,4,,Very Soft CLAY  at 2.0 
40,HMN010a_S4B2_C01,16.014316173399997,35.3185377187,4,,Very Soft CLAY  at 2.0 
41,HMN010a_S4B2_C02,15.9758037268,35.3144658515,4,,Very Soft CLAY  at 2.0 
42,HMN010a_S4B2_C15,15.944237248699999,35.3104069499,4,,Very Soft CLAY Silty CLAY  at 2.0 2.0 
43,HMN010a_S4B2_C04,15.883703648,35.312919422,4,,Very Soft CLAY  at 2.0 
44,HMN010a_S4B2_C05,15.83974902,35.3146173169,4,,Silty CLAY  at 2.0 
45,HMN010a_S4B2_C06,15.7958539548,35.3163516071,4,,Very Soft CLAY  at 2.0 
46,HMN010a_S4B2_C07,15.751929503,35.3180161527,4,,Very Soft CLAY  at 2.0 
47,HMN010a_S4B2_C08,15.707906418399999,35.319734422399996,4,,Silty CLAY  at 2.0 
48,HMN010a_S4B2_C09,15.664043571099999,35.3214309134,4,,Very Soft CLAY  at 2.0 
49,HMN010a_S4B2_C10,15.6301190554,35.3230834581,4,,Silty CLAY  at 2.0 
50,HMN010a_S4B2_C11,15.5761780511,35.324999778,4,,Very Soft CLAY  at 2.0 
51,HMN010a_S4B2_C12,15.532347198900002,35.326638659000004,4,,Very Soft CLAY  at 2.3 
52,HMN010a_S4B2_C13,15.4881821081,35.328506974899994,4,,Very Soft CLAY  at 2.0 
53,HMN010a_S4B2_C14,15.444428755899999,35.3301723815,4,,Silty CLAY  at 2.0 
54,HMN010a_S4B3_C02,15.3572921629,35.3290852814,4,,Very Soft CLAY  at 2.0 
55,HMN010a_S4B3_C03,15.312445796099999,35.3281735152,4,,Silty CLAY  at 2.0 
56,HMN010a_S4B3_C04,15.290530155599999,35.3279907581,4,,Very Soft CLAY  at 2.0 
57,HMN010a_S4B3_C05,15.230284488499999,35.3335660176,4,,Silty CLAY  at 2.0 
58,HMN010a_S4B3_C06,15.1811693274,35.3386520777,4,,Very Soft CLAY  at 1.28 
59,HMN010a_S4B3_C07,15.1427150079,35.3400137952,4,,Very Soft CLAY  at 1.83 
60,HMN010a_S4B3_C08,15.0889636272,35.3410191129,4,,Very Soft CLAY  at 1.31 
61,HMN010a_S4B3_C09,15.0487252019,35.3417887748,4,,Silty CLAY  at 2.0 
62,HMN010a_S4B3_C11,14.9437669539,35.3387284326,4,,Silty CLAY  at 2.0 
63,HMN010a_S4B3_C12,14.916406273900002,35.3370134401,4,,Silty CLAY  at 2.0 
64,HMN010a_S4B4_C01,14.8287214428,35.3313908804,4,,Very Soft CLAY  at 1.96 
65,HMN010a_S4B3_C13,14.8725358721,35.3342250972,4,,Silty CLAY  at 2.0 
66,HMN010a_S4B4_C02,14.7848445997,35.32655321,4,,Very Soft CLAY  at 2.0 
67,HMN010a_S4B4_C03,14.738656192999999,35.3227264371,4,,Very Soft CLAY  at 1.92 
68,HMN010a_S4B4_C04,14.697629089200001,35.3246580545,4,,Very Soft CLAY  at 2.0 
69,HMN010a_S4B4_C05,14.6396956497,35.3251993211,4,,Soft Silty CLAY  at 2.0 
70,HMN010a_S4B4_C06,14.6015785888,35.3276101227,4,,Very Soft CLAY  at 2.0 
71,HMN010a_S4B4_C08,14.521816022100001,35.3311198079,4,,Very Soft CLAY  at 2.0 
72,HMN010a_S4B4_C07,14.5709491456,35.3290302316,4,,Very Soft CLAY  at 2.0 
73,HMN010a_S4B4_C09B,14.4777283533,35.3331074777,4,,Very Soft CLAY  at 2.0 
74,HMN010a_S4B4_C10,14.445056087200001,35.3345070086,4,, 
75,HMN010a_S4B4_C10A,14.4449079398,35.3346512915,4,,Very Soft CLAY  at 2.0 
76,HMN010a_S4B4_C11,14.389920032300001,35.3368361659,4,,Very Soft CLAY  at 2.0 
77,HMN010a_S4B4_C12,14.34607258,35.3385911994,4,,Very Soft CLAY  at 2.0 
78,HMN010a_S4B5_C01,14.3020497566,35.3404472779,4,,Very Soft CLAY  at 2.0 
79,HMN010a_S4B5_C02,14.259056907,35.3471821175,4,,Very Soft CLAY  at 2.0 
80,HMN010a_S4B5_C03,14.232655680299999,35.3604362606,4,,Very Soft CLAY  at 2.0 
81,HMN010a_S4B5_C04,14.1849136524,35.385793672800006,4,,Very Soft CLAY  at 2.0 
82,HMN010a_S4B5_C05,14.147581976400001,35.4048442327,4,,Very Soft CLAY  at 2.0 
83,HMN010a_S4B5_C08,14.0371490539,35.4642169421,4,,Very Soft CLAY  at 2.0 
84,HMN010a_S4B5_C07,14.0787624147,35.4420196773,4,,Very Soft CLAY  at 1.91 
85,HMN010a_S4B5_C06,14.1180763268,35.417691866300004,4,,Very Soft CLAY  at 2.0 
86,HMN010a_S4B5_C09,14.005398926199998,35.4891059638,4,,Very Soft CLAY  at 2.0 
87,HMN010a_S4B5_C10,13.9808426356,35.5191300173,4,, 
88,HMN010a_S4B5_C11,13.9686839446,35.5420211228,4,, 
89,HMN010a_S4B5_C12,13.9397878541,35.582741271799996,4,, 
90,HMN010a_S4B5_C13,13.9132093899,35.6113404093,4,, 
91,HMN010a_S4B6_C01,13.886574301,35.640107312800005,4,,Very Soft CLAY  at 1.96 
92,HMN010a_S4B6_C02,13.8633578091,35.670571166,4,,Very Soft CLAY  at 1.94 
93,HMN010a_S4B6_C03,13.8403362723,35.7001073891,4,,Very Soft CLAY  at 1.86 
94,HMN010a_S4B6_C04,13.8150099446,35.7276086923,4,,Very Soft CLAY  at 1.92 
95,HMN010a_S4B6_C05,13.7891947481,35.7587488931,4,,Very Soft CLAY  at 1.95 
96,HMN010a_S4B6_C06,13.762608282,35.7888524613,4,,Very Soft CLAY  at 1.94 
97,HMN010a_S4B6_C07,13.719537642799999,35.806071204,4,,Very Soft CLAY  at 2.0 
98,HMN010a_S4B6_C08,13.6761424514,35.8076454627,4,,Very Soft CLAY  at 2.0 
99,HMN010a_S4B6_C09,13.638940480699999,35.8238561958,4,,Very Soft CLAY  at 1.94 
100,HMN010a_S4B6_C10,13.618086981300001,35.8547696499,4,,Very Soft CLAY  at 1.94 
101,HMN010a_S4B6_C11,13.5939226683,35.8876034415,4,,Very Soft CLAY  at 2.0 
102,HMN010a_S4B6_C12,13.561773663299999,35.9139474402,4,,Very Soft CLAY  at 2.0 
103,HMN010a_S5B0_C01,13.531941529300001,35.9365654559,4,,Very Soft CLAY  at 2.0 
104,HMN010a_S5B0_C02,13.5051614775,35.9643190539,4,,Very Soft CLAY  at 2.0 
105,HMN010a_S5B0_C03,13.4756134213,35.994769710300005,4,,Very Soft CLAY  at 1.84 
106,HMN010a_S5B0_C04,13.4481440634,36.0232283363,4,,Very Soft CLAY  at 2.0 
107,HMN010a_S5B0_C05,13.4206542226,36.0514378297,4,,Very Soft CLAY  at 2.0 
108,HMN010a_S5B0_C06,13.393209081300002,36.079720759699995,4,,Very Soft CLAY  at 1.95 
109,HMN010a_S5B0_C07A,13.367003035,36.1085954208,4,,Very Soft CLAY  at 2.0 
110,HMN010a_S5B0_C17,13.0810836275,36.361556399,4,,Very Soft CLAY  at 2.0 
111,HMN010a_S5B0_C15,13.158445866500001,36.325730803,4,,Very Soft CLAY  at 2.0 
112,HMN010a_S5B0_C14,13.197173293399999,36.3078269635,4,,Very Soft CLAY  at 2.0 
113,HMN010a_S5B0_C12,13.2693300175,36.266071132600004,4,,Very Soft CLAY  at 2.0 
114,HMN010a_S5B0_C11,13.2993602841,36.2394061477,4,,Very Soft CLAY  at 2.0 
115,HMN010a_S5B0_C10,13.319793208800002,36.207820699,4,,Very Soft CLAY  at 2.0 
116,HMN010a_S5B0_C08,13.3435630546,36.1391488106,4,,Very Soft CLAY  at 2.0 
117,HMN010c_PES_MALTA_C11,13.862098081900001,35.6765627302,4,, 
118,HMN010a_S4B3_K05A,14.9895508385,35.34054671,5,,Very Soft Sandy SILT 
119,HMN010a_S5B0_K03A,13.401960161300002,36.0710957414,5,,Very Soft CLAY 
120,HMN010a_S5B0_K01A,13.5268536272,35.942100255599996,5,,Very Soft CLAY 
121,HMN010a_S4B6_K05A,13.6065313694,35.8718245714,5,,Very Soft CLAY 
122,HMN010a_S4B6_K04A,13.6759834451,35.8075653218,5,,Very Soft CLAY 
123,HMN010a_S4B6_K03A,13.7764046566,35.775632861300004,5,,Very Soft CLAY 
124,HMN010a_S4B6_K02A,13.8403789927,35.7002286936,5,,Very Soft CLAY 
125,HMN010a_S4B6_K01A,13.8995937359,35.6254501031,5,,Very Soft CLAY 
126,HMN010a_S4B5_K05A,13.9568002357,35.560369038000005,5,,Very Soft CLAY 
127,HMN010a_S4B5_K04A,14.020050357799999,35.4756523402,5,,Very Soft CLAY 
128,HMN010a_S4B5_K03A,14.108838262599999,35.4223873062,5,,Very Soft CLAY with organic matter 
129,HMN010a_S4B5_K02A,14.2032492182,35.3760690293,5,,Very Soft CLAY 
130,HMN010a_S4B5_K01A,14.301921715599999,35.3404609022,5,,Very Soft CLAY 
131,HMN010a_S4B4_K05A,14.4118727607,35.335852766900004,5,,Very Soft CLAY 
132,HMN010a_S4B4_K04A,14.521638223900002,35.3311589139,5,,Very Soft CLAY 
133,HMN010a_S4B4_K03A,14.584689766199999,35.328391587199995,5,,Very Soft CLAY with shell fragments 
134,HMN010a_S4B4_K02A,14.6315565863,35.3256131401,5,,Very Loose Clayey SAND with shell fragments 
135,HMN010a_S4B4_K01A,14.7386765467,35.3227606372,5,,Very Loose Clayey SAND with shells 
136,HMN010a_S4B3_K06A,14.850647596300002,35.3328303841,5,,Very Soft CLAY 
137,HMN010a_S4B3_K04A,15.063741244700001,35.341576943,5,,Very Soft Slightly Sandy CLAY 
138,HMN010a_S4B3_K03C,15.1811794973,35.3387121242,5,,Very Soft CLAY 
139,HMN010a_S4B3_K03B,15.1811810842,35.3387131407,5,,EMPTY 
140,HMN010a_S4B3_K03A,15.1812223574,35.3387263067,5,,EMPTY 
141,HMN010a_S4B3_K02A,15.257656239000001,35.3320426561,5,,Very Soft Slightly Sandy CLAY 
142,HMN010a_S4B3_K01A,15.400456657100001,35.331928668,5,,Very Soft Sandy CLAY 
143,HMN010a_S4B2_K05A,15.510278214000001,35.327551363299996,5,,Very Soft Slightly Sandy CLAY  
144,HMN010a_S4B2_K04A,15.6301190554,35.3230834581,5,,Very Soft Slightly Sandy CLAY 
145,HMN010a_S4B2_K03A,15.7299714274,35.3189178356,5,,Very Soft Slightly Sandy CLAY 
146,HMN010a_S4B2_K02A,15.8398109648,35.314542887100004,5,,Very Soft CLAY 
147,HMN010a_S4B2_K01A,15.9443896932,35.3104293828,5,,Very Soft CLAY 
148,HMN010a_S5B0_K07A,13.1345455045,36.3370264128,5,,Very Soft SILT 
149,HMN010a_S5B0_K06A,13.2306633199,36.291580003,5,,Very Soft SILT 
150,HMN010a_S5B0_K05A,13.3090605434,36.228397267,5,,Very Soft SILT 
151,HMN010_PES_MALTA_K04,13.8621339375,35.6765884668,5,, 
